company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
DeepakFertilisers,203,373,234,273,567
Asahi Industries,829,773,936,965,868
Blue DartExpress,326,254,637,649,142
DeepakNitrite,482,423,594,556,679
Ashapura Minechem,400,851,961,994,653
Blue Star,237,416,504,566,107
DeepakSpinners,916,677,859,926,543
AshokLeyland,55,248,122,81,586
Bombay Burmah,105,129,358,308,116
DhampurSugar,388,810,577,346,921
Ashoka Buildcon,315,336,350,83,851
Bombay Dyeing,263,566,494,252,827
Dhanuka Agritech,683,289,540,752,120
Dhunseri Petrochem,178,895,531,283,592
Force Motors,307,298,262,452,54
GMDC,415,101,121,227,277
Diamond PowerInfra,272,925,354,276,900
Fortis Healthcare,188,903,104,153,720
GNFC,173,964,149,130,638
DICIndia,708,837,674,870,336
Future Lifestyle Fashions,221,609,219,272,408
GujaratNRE Coke,840,956,330,223,994
Dish TV India,261,738,976,474,410
Future Retail,69,232,82,100,668
GujaratPipavavPort,707,150,204,372,568
Dishman Pharma,407,265,277,326,421
GM Breweries,974,608,827,961,252
GujaratSidhee Cement,861,792,778,920,308
s Labs,225,73,110,237,86
Gabriel India,458,400,616,832,45
GSFC,152,117,93,180,205
DLF,110,95,24,26,659
GAIL,17,24,19,29,203
GujaratState Petronet,548,103,107,191,393
D-LinkIndia,752,583,818,972,184
GallanttIspat,803,552,615,742,482
GOCLCorp,872,475,605,311,958
DonearInd,839,695,877,777,825
GallanttMetal,711,516,663,807,271
Gulf Oil Lubricants India,595,346,758,776,333
DrLal PathLabs,737,308,631,820,137
Gammon India,161,979,990,74,944
Gulshan Polyols,946,563,744,866,358
DrReddys Labs,57,33,57,77,153
Gammon Infrastructure,702,869,369,115,904
GVKPower& Infra,242,982,979,53,910
Dredging Corporation,698,396,231,312,519
Ganesha Ecosphere,765,577,801,801,612
HT Media,301,212,210,322,220
Dwarikesh Sugar,605,805,876,610,940
Garden Silk,279,911,836,401,856
Harita Seating Systems,794,681,934,979,606
Dynamatic Techno,410,545,690,599,492
Garware Polyester,614,615,498,542,548
Hathway Cable & Datacom,363,923,317,296,743
eClerxServices,593,184,398,615,114
Garware-Wall Ropes,671,470,632,826,164
Hatsun Agro Products,245,490,718,581,372
Educomp Solutions,786,989,557,207,998
Gateway Distriparks,547,206,335,439,493
Havells India,98,123,202,290,16
EicherMotors,100,85,239,294,64
Gati,416,477,500,499,441
Hawkins Cookers,837,526,897,991,145
EICL,881,555,794,869,580
Gayatri Projects,446,840,400,174,907
HBLPowerSystems,487,641,450,468,601
EID Parry,60,271,259,138,561
Genus PowerInfra,592,421,485,563,624
HCLInfosystems,434,931,237,297,813
EIH,409,394,156,264,420
Geometric,546,410,628,731,151
HCLTechnologies,27,11,27,55,32
ElderPharma,490,797,376,397,615
GHCL,308,210,380,342,464
HEG,508,504,306,359,500
Elecon Engineering,483,623,476,472,489
Gillanders Arbuthnot,632,783,731,676,688
Heidelberg Cement,404,450,348,330,701
Electrosteel Castings,299,901,222,198,711
Gillette India,377,229,388,609,23
Heritage Foods,344,547,755,819,215
Electrosteel Steels,347,971,293,97,967
Ginni Filaments,650,694,814,730,712
Hero MotoCorp,34,32,70,149,1
Electrotherm India,370,966,991,338,899
Gitanjali Gems,65,304,99,85,752
Hexaware Techno,285,144,268,455,48
Elgi Equipments,472,448,483,584,253
GSKConsumer,176,90,172,319,14
Hikal,628,485,530,493,649
Emami Infrastructure,988,653,910,529,997
GSKPharma,266,126,200,341,81
HIL,533,381,524,694,183
Emami,324,104,280,460,66
GlenmarkPharma,131,105,130,146,384
Himachal Futuristic,267,140,343,465,278
Emami PaperMills,819,654,578,467,909
Global Offshore Services,935,460,608,424,882
Himadri Chemical,447,808,372,355,702
EMCO,601,806,496,481,897
Global Vectra Helicorp,998,576,944,904,806
Himatsingka Seide,372,305,364,409,412
Empee Disttilleries,788,836,562,540,832
GMR Infra,77,996,102,24,848
Hind Aluminium Ind,887,696,891,966,715
Empire Ind,987,515,816,857,490
Godawari Power,294,385,382,270,717
Hindalco,8,72,15,11,513
Engineers India,351,148,142,295,195
Godfrey Phillips,276,209,266,398,160
Hinduja Foundries,747,919,977,590,978
Enkei Wheel,968,748,927,930,730
Godrej ConsumerProd,109,69,98,140,228
Hinduja Global Solutions,264,225,295,387,212
Eros International Media,436,174,227,356,222
Godrej Properties,252,205,216,182,849
HCC,82,918,641,89,814
Esab India,905,605,656,876,226
Gokaldas Exports,512,511,787,733,596
Hindustan Copper,554,378,194,358,229
Escorts,189,349,205,309,359
Gokul Refoils & Solvent,859,673,570,527,945
Hind Dorr-Oliver,952,974,987,805,984
IT,898,938,972,901,961
GOLOffshore,496,922,385,218,895
Hindustan Media Ventures,631,244,389,579,269
Ess Dee Alum,643,498,333,418,594
Good LuckSteel Tubes,551,550,763,721,469
HPCL,5,46,42,22,179
