company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
SEAMEC,894,259,437,678,319
Steel Strips Wheels,521,489,593,504,593
TCPLPackaging,853,525,838,879,474
SELManufacturing,243,916,304,154,964
Steelco Gujarat,802,782,951,987,718
TD Power,780,777,482,696,368
SequentScientific,897,803,954,687,885
Sterling Biotech,663,961,301,135,976
Tech Mahindra,40,28,44,76,63
Seshasayee Paper,583,618,556,608,425
Sterling International Ent,900,689,185,315,661
Techno Electric & Engg,668,291,338,420,598
Setco Automotive,807,591,784,711,785
Sterlite Techno,240,781,296,145,804
TechnocraftInd,559,355,426,571,317
ShalimarPaints,882,802,898,935,571
Strides Arcolab,435,98,230,361,325
Technofab Engineering,918,686,720,808,699
Sharda Cropchem,556,258,417,626,194
Sturdy Inds,939,820,932,888,971
Texmaco Rail & Engineering,880,644,339,516,499
Sharda MotorIndustries,624,505,738,823,192
Styrolution ABS (I),421,634,486,644,190
Ramco Cements,209,175,143,170,342
Sharon Bio-Medicine,473,366,589,495,816
Subex,999,665,733,509,938
Thermax,151,193,182,278,111
Shasun Pharma,476,572,569,489,604
Subros,515,595,625,612,374
Thirumalai Chemicals,575,812,753,835,231
Shemaroo Entertainment,937,481,624,745,760
SudarIndustries,604,757,807,715,896
Thomas Cook,282,361,290,345,479
Shilpa Medicare,773,358,464,607,392
Sudarshan Chem,500,415,673,623,401
Tide WaterOil,514,228,477,697,70
Shilpi Cable Technologies,234,227,470,528,457
Sujana Metal Products,197,663,342,305,658
TIL,448,723,618,498,729
Shipping Corp,174,199,68,82,413
Sujana Towers,333,735,337,268,731
TilaknagarInd,689,855,490,426,824
ShirpurGold Refinery,238,632,675,753,331
SukhjitStarch,824,575,745,815,447
Time Technoplast,293,282,322,369,339
Shiva Global Agro Inds,847,722,916,940,700
SumeetInd,523,585,712,628,716
Timken India,603,340,516,750,103
Shiva Texyarn,876,680,798,794,628
Sun Pharma,35,18,29,43,204
Tinplate,609,458,456,657,340
Shree Cement,135,114,81,139,146
Sundram Fasteners,236,252,345,383,294
TorrentPharma,163,79,147,179,288
Shree Digvijay Cement,921,733,754,883,603
Sunflag Iron,387,569,439,511,465
TorrentPower,81,128,69,69,445
Shree Rama Newsprint,955,857,943,889,811
Sunil Hitech,379,419,551,510,480
Transformers and Rectifiers,791,798,610,724,514
Shree Renuka Sugars,83,993,997,148,742
SuperSpinning Mills,895,811,902,945,639
TransportCorp,309,337,430,543,158
Shrenuj & Co,798,359,327,205,972
SuperHouse,664,508,694,729,487
Trend Electronics,454,848,946,572,844
Shreyans Ind,973,668,857,967,375
SuprajitEngineering,774,436,697,759,348
Trent,281,255,241,406,399
Shreyas Shipping,800,398,761,847,273
Supreme Ind,183,141,282,403,27
TRF,506,878,947,675,728
Shri Lakshmi Cotsyn,693,978,992,320,1000
Supreme Infrastructure,384,815,378,188,955
Trident,206,268,235,220,558
Shriram EPC,759,942,974,329,985
Supreme Petro,273,507,572,797,43
Trigyn Technologies,860,568,689,903,774
Sical Logistics,635,624,676,428,871
Supreme TexMart,929,929,941,740,993
Trinetra Cement,866,826,959,476,966
Siemens,78,87,95,197,9
Surana Ind,767,962,588,240,995
Triveni Engineering,368,917,413,332,852
SignetInds,729,658,862,880,534
Surya Roshni,260,417,421,380,470
Triveni Turbine,725,318,716,905,92
Simbhaoli Sugars,597,933,988,705,880
Suryajyoti Spg Mills,912,800,904,809,894
TTKHealthcare,863,625,839,958,188
SimplexInfra,137,405,229,194,709
Suryalakshmi Cotton,687,655,699,667,677
TTKPrestige,463,310,420,648,83
SimplexProjects,821,850,764,434,979
Suryalata Spg Mills,971,650,874,938,630
Tube Investments,93,115,395,57,887
Simran Farms,908,762,931,995,660
Sutlej Textiles,369,276,451,480,264
Tulsyan NEC,489,859,853,513,948
SintexInd,129,99,88,107,424
Suven Life Sciences,834,286,452,640,347
Broadcast,318,459,113,222,745
Sita Shree Food Products,779,745,890,908,747
Suzlon Energy,47,999,1000,98,610
TVS Motor,84,139,278,304,148
Siyaram Silk,367,343,521,596,248
Swaraj Engines,815,427,730,928,68
Ucal Fuel Systems,688,567,889,784,642
SJVN,233,42,54,80,314
Symphony,768,273,638,841,102
Uflex,138,169,129,186,343
SKF India,292,197,242,429,38
Syngene International,626,216,353,496,376
UFO MoviezIndia,871,445,512,660,613
Skipper,478,321,649,632,352
TT,728,728,894,768,803
UgarSugar,714,784,867,884,507
SMLIsuzu,535,500,645,795,106
TV Today,856,339,507,736,241
UltraTech Cement,37,36,37,52,186
SMS Pharma,782,510,681,766,390
Taaza International,964,754,935,997,373
Unichem Labs,504,354,346,551,171
Sobha,269,180,153,209,724
Take Solutions,701,367,497,611,442
Unisys Software,831,768,896,992,696
SolarInd,466,239,392,484,236
Talbros Automotive,940,643,826,893,643
Unitech,215,906,47,71,652
Somany Ceramics,429,454,683,734,265
TN Newsprint,298,223,284,248,578
United BrewHoldings,311,527,985,256,968
Sona Koyo Steering,438,496,710,666,280
TN Petro,620,858,691,806,402
United Breweries,167,167,196,291,126
Sonata Software,406,249,528,747,46
Tantia Constructions,812,870,724,475,988
United Spirits,88,990,414,169,589
Southern Ispat& Energy,738,561,550,780,337
Tara Jewels,401,464,440,519,532
Unity Infraprojects,561,948,444,246,989
SPIC,332,664,725,761,321
Tata Chemicals,51,88,87,72,437
Universal Cables,722,846,845,727,869
SpentexInd,640,877,958,842,789
Tata Coffee,398,263,461,385,523
UPL,72,60,74,104,207
Spice Mobility,335,959,599,783,300
Tata Communications,50,756,626,67,536
UpperGanges Sugar,690,868,923,647,866
SPMLInfra,371,763,553,437,657
TCS,9,2,9,31,7
Usha Martin,170,941,212,167,741
Sportking India,543,692,806,631,714
Tata Elxsi,647,297,661,873,44
Sree Rayal Alkalies,675,579,665,664,684
Tata Global Beverages,114,173,90,136,213
Uttam Galva,103,597,264,173,644
Sree Rayal Hi-Strength,941,601,774,907,404
Tata Metaliks,462,284,945,800,552
Uttam Sugar,763,862,928,580,930
SRF,171,152,160,195,315
Tata Motors,3,4,7,4,189
Uttam Value Steels,154,838,558,368,516
Srikalahasthi Pipes,558,332,652,613,407
Tata Power,29,221,48,23,654
VIP Ind,553,452,639,837,143
SRS Real Infrastructure,585,712,703,638,763
Tata Sponge Iron,648,311,368,593,483
Va Tech Wabag,300,281,334,454,283
STCIndia,981,557,811,228,977
Tata Steel,7,998,22,10,539
Vadilal Enterprises,902,776,940,998,377
SAIL,23,35,10,15,395
Tata Tele(Mah),254,970,998,211,864
Vadilal Ind,956,747,906,890,697
VaibhavGlobal,461,294,613,775,284
Visa Steel,485,943,975,260,991
Westlife Development,889,834,462,642,662
Vakrangee,268,142,283,400,243
Visaka Ind,566,586,606,643,640
Wheels India,356,540,566,601,297
Valecha Engineering,727,882,740,444,959
Vishnu Chemicals,919,582,860,790,857
Whirlpool of India,195,192,332,523,5
Vardhman Acrylics,843,521,620,852,214
Vivimed Labs,460,362,480,402,740
Wim Plast,986,493,769,952,122
Vardhman Polytex,571,863,875,637,817
Voltamp Transformers,813,546,514,755,450
Winsome Textile,745,646,813,716,755
Vardhman Speical Steels,741,817,777,712,878
Voltas,150,124,177,318,26
Wipro,22,9,16,38,90
Vardhman Textiles,134,121,131,164,221
VRLLogistics,412,316,586,588,310
Wockhardt,172,118,120,171,292
Vascon Engineers,776,914,472,567,770
VST Ind,638,234,597,828,41
WPIL,886,610,732,825,632
Vedanta,15,1000,38,9,631
VST Tillers Tractors,792,369,582,782,217
Zee Entertainment,160,66,109,175,257
Venkys India,390,607,575,485,597
Wabco India,471,261,347,561,67
Zee Media Corporation,817,864,591,576,791
Venus Remedies,890,716,502,597,704
WalchandnagarInd,739,807,757,491,920
ZensarTechno,275,165,286,449,57
Vesuvius,749,403,515,751,152
Wanbury,849,708,971,927,751
Zicom Electronic,542,432,612,545,854
V Guard Ind,394,365,571,739,88
Websol Energy System,995,867,967,942,949
Zodiac Clothing,947,674,668,849,448
Videocon Ind,38,22,55,28,888
Welspun Corp,106,370,151,166,349
Zuari Agro Chemicals,122,675,331,208,511
Vijay Solvex,692,724,871,970,305
Welspun Ent,518,765,225,353,651
Zuari Global,719,828,407,445,870
Vikas WSP,499,707,240,405,503
Welspun India,153,96,246,201,415
Zydus Wellness,891,285,547,774,202
Vinati Organics,676,274,522,722,163
Welspun Syntex,660,471,803,829,357
Vindhya Telelinks,709,357,546,620,670
WestCoastPaper,422,758,434,413,566
