date,current_price,actual_future,pred_future,actual_signal,pred_signal,correct
2025-11-06,2957.14,3050.25,2936.53,BUY,HOLD,False
2025-11-07,2938.38,3050.54,2940.4,BUY,HOLD,False
2025-11-10,2971.19,3046.81,2946.26,BUY,HOLD,False
2025-11-11,2992.6,3031.98,2956.79,BUY,SELL,False
2025-11-12,3075.88,3091.5,2967.69,HOLD,SELL,False
2025-11-13,3050.25,3088.65,2983.72,BUY,SELL,False
2025-11-14,3050.54,3094.35,2998.35,BUY,SELL,False
2025-11-17,3046.81,3085.12,3010.49,BUY,SELL,False
2025-11-18,3031.98,3063.51,3021.0,BUY,HOLD,False
2025-11-19,3091.5,3106.43,3027.78,HOLD,SELL,False
2025-11-20,3088.65,3080.6,3035.36,HOLD,SELL,False
2025-11-21,3094.35,3081.48,3043.07,HOLD,SELL,False
2025-11-24,3085.12,3077.46,3046.66,HOLD,SELL,False
2025-11-25,3063.51,3079.71,3050.86,HOLD,HOLD,True
2025-11-26,3106.43,3123.22,3059.63,HOLD,SELL,False
2025-11-27,3080.6,3171.54,3071.09,BUY,HOLD,False
2025-11-28,3081.48,3180.38,3084.47,BUY,HOLD,False
2025-12-01,3077.46,3178.71,3096.87,BUY,HOLD,False
2025-12-02,3079.71,3151.02,3103.29,BUY,HOLD,False
2025-12-03,3123.22,3132.26,3105.98,HOLD,HOLD,True
2025-12-04,3171.54,3134.91,3106.1,SELL,SELL,True
2025-12-05,3180.38,3163.0,3105.44,HOLD,SELL,False
2025-12-08,3178.71,3172.53,3110.15,HOLD,SELL,False
2025-12-09,3151.02,3147.88,3116.33,HOLD,SELL,False
2025-12-10,3132.26,3160.35,3122.69,HOLD,HOLD,True
2025-12-11,3134.91,3222.22,3127.81,BUY,HOLD,False
2025-12-12,3163.0,3223.4,3134.38,BUY,HOLD,False
2025-12-15,3172.53,3265.54,3143.23,BUY,HOLD,False
2025-12-16,3147.88,3250.9,3150.2,BUY,HOLD,False
2025-12-17,3160.35,3259.74,3157.45,BUY,HOLD,False
2025-12-18,3222.22,3221.44,3165.12,HOLD,SELL,False
2025-12-19,3223.4,3193.45,3170.62,HOLD,SELL,False
2025-12-22,3265.54,3188.83,3176.4,SELL,SELL,True
2025-12-23,3250.9,3148.96,3184.02,SELL,SELL,True
2025-12-24,3259.74,3169.78,3192.68,SELL,SELL,True
2025-12-26,3221.44,3192.66,3200.3,HOLD,HOLD,True
2025-12-29,3193.45,3158.68,3203.38,SELL,HOLD,False
2025-12-30,3188.83,3197.67,3200.87,HOLD,HOLD,True
2025-12-31,3148.96,3236.76,3190.8,BUY,BUY,True
2026-01-01,3169.78,3146.7,3176.79,HOLD,HOLD,True
2026-01-02,3192.66,3150.53,3158.32,SELL,SELL,True
2026-01-05,3158.68,3181.76,3131.73,HOLD,HOLD,True
2026-01-06,3197.67,3209.65,3129.05,HOLD,SELL,False
2026-01-07,3236.76,3135.5,3127.44,SELL,SELL,True
2026-01-08,3146.7,3135.5,3119.74,HOLD,HOLD,True
2026-01-09,3150.53,3206.7,3114.61,BUY,SELL,False
2026-01-12,3181.76,3163.6,3116.91,HOLD,SELL,False
2026-01-13,3209.65,3102.3,3114.42,SELL,SELL,True
2026-01-14,3135.5,3122.6,3117.58,HOLD,HOLD,True
