entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,direction
2024-10-25,2024-11-01,1322.5677490234375,1333.3248291015625,75.6104933557002,813.3481317738053,0.008133481317738054,BUY
2024-11-04,2024-11-11,1296.9700927734375,1267.6370849609375,77.7298942307874,-2280.051594736485,-0.022616564542189535,BUY
2024-11-12,2024-11-21,1269.1810302734375,1218.1348876953125,77.63533663579017,-3962.984463011276,-0.04021974908270368,BUY
2024-11-22,2024-11-29,1260.3662109375,1287.0595703125,75.03399508281142,2002.909396087468,0.02117905029772628,BUY
2024-12-03,2024-12-10,1318.035888671875,1279.73876953125,73.27055530136282,2806.0511858760447,0.029056203605514315,SELL
2024-12-12,2024-12-19,1257.876220703125,1225.55517578125,79.00560565525178,-2553.5437294633343,-0.025694932768351605,BUY
2024-12-20,2024-12-30,1200.50537109375,1205.8837890625,80.65414054608581,433.7916787671559,0.004480128201217342,BUY
2024-12-31,2025-01-07,1210.6148681640625,1235.913818359375,80.33894441821177,2032.4909535803188,0.02089760406931,BUY
2025-01-09,2025-01-16,1249.758544921875,1261.4119873046875,79.44895593018782,925.8538303070533,0.009324555075189329,BUY
2025-01-17,2025-01-24,1297.169189453125,1241.34228515625,77.25890053820328,4313.125246428059,0.04303748867209151,SELL
2025-01-27,2025-02-01,1224.4595947265625,1259.5693359375,85.36908125494489,2997.2863502766104,0.02867366253827098,BUY
2025-02-03,2025-02-10,1240.94384765625,1248.6629638671875,86.65039694501269,668.8644837424166,0.006220358983620787,BUY
2025-02-11,2025-02-18,1229.937744140625,1220.525390625,87.96960820584194,-828.0010510644101,-0.0076527072695061855,BUY
2025-02-19,2025-02-27,1222.567138671875,1202.298095703125,87.8226945762692,-1780.081969997808,-0.01657908373913035,BUY
2025-02-28,2025-03-07,1195.325927734375,1244.828369140625,88.3349519981546,4372.795785412554,0.04141334196613396,BUY
2025-03-10,2025-03-18,1233.4736328125,1233.9217529296875,89.14811902646764,39.949065545185874,0.00036329930795984727,BUY
