Date,Open,High,Low,Close,Volume,SMA_10,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,Price_Change,Volatility,Volume_SMA,Volume_Ratio
2021-05-06,656.5995896377394,663.1194582955492,640.8948804800407,646.6533203125,11153908,620.7072387695313,596.7091674804688,621.8788492065997,606.4356238715532,15.443225335046577,12.739478322250795,70.25012816768329,611.3034454345703,644.3634165947942,578.2434742743465,-0.005852975243648806,0.021194414759918127,9055073.4,1.2317854872385683
2021-05-07,648.1761458677777,657.6941509465996,644.940000903661,646.7008666992188,6466334,624.6572021484375,599.515391031901,625.6976211285411,609.4182344513803,16.2793866771608,13.447459993232798,66.50197922745812,614.0826965332031,649.273967935286,578.8914251311203,7.352685778494461e-05,0.021061819743837484,8934888.8,0.7237173449769179
2021-05-10,654.8388627320059,669.5917731569275,650.6509165353522,664.5472412109375,10924222,630.7011474609375,603.016434733073,631.674485756602,613.5018645817179,18.17262117488417,14.392492229563072,75.12002275058109,618.0778839111329,657.1279049457705,579.0278628764952,0.027596026896959724,0.02158972867452328,9374516.3,1.1653104704719537
2021-05-11,664.832648120805,687.0571665207405,662.6435185931815,673.9699096679688,14760511,637.2542907714844,606.9124715169271,638.1814740506585,617.9809790325513,20.200495018107176,15.554092787271893,76.24005966207528,621.4734283447266,667.3385985165958,575.6082581728574,0.014179079939992345,0.021609115201259993,10339329.0,1.427608213260261
2021-05-12,680.4897823875026,680.4897823875026,666.2603532249681,668.9729614257812,7250661,642.9127380371094,610.9449320475261,642.9186259545235,621.7581629135312,21.160463040992227,16.67536683801596,76.20836279125939,625.4471984863281,673.3727946132416,577.5216023594147,-0.007414200798147252,0.022330187138165973,10457479.6,0.6933468940259755
2021-05-14,669.1157822196459,676.7301865692293,653.8869735204789,658.1224975585938,6851035,647.3814392089844,614.2524373372396,645.2576831243804,624.451817331684,20.80586579269641,17.501466628952052,70.67233262302393,628.4977203369141,676.5958209357314,580.3996197380968,-0.016219585084667587,0.023668822741015894,10574954.1,0.6478548214218727
2021-05-17,654.8388535143866,664.8327604357545,647.272026655262,654.0298461914062,6318234,650.4938293457031,617.0903889973958,646.6072466731536,626.6427824324041,19.964464240749408,17.994066151311525,70.10358993467439,631.0628265380859,678.8451858337235,583.2804672424484,-0.0062186771951571185,0.02383200296227437,10119350.9,0.6243714703084364
2021-05-18,657.6942169541849,662.310426643389,651.7454631828915,657.5038452148438,4080423,653.501513671875,620.0409688313802,648.2836464487982,628.9287870829552,19.354859365843026,18.266224794217827,69.8958784497843,633.19248046875,681.7344010290817,584.6505599084182,0.005311682706328424,0.02382070660127404,9870633.5,0.41339018412546674
2021-05-19,660.8351012529905,672.685029557883,657.5037993733264,669.4965209960938,7745431,659.0457458496094,622.9804484049479,651.5471656099205,631.9338044098544,19.61336120006615,18.535652075387492,71.73920518808963,636.1787506103516,685.9859107482011,586.371590472502,0.018239704404057644,0.022205550643559842,10084712.8,0.7680368448370686
2021-05-20,666.2603402542354,667.8308342935798,651.9833329630732,653.744140625,6226376,659.3741149902344,625.4567138671875,651.8851617660865,633.5493848702355,18.33577689585104,18.495677039480203,63.799286149793204,638.1632476806641,687.4184590734072,588.9080362879209,-0.023528696381658554,0.015861433037030685,8177713.5,0.7613834845155678
2021-05-21,658.4080765404171,661.0255282360964,654.8388242281271,657.1231689453125,3434231,660.4210998535157,627.6759969075521,652.691009024429,635.2955910980189,17.39541792641012,18.275625216866185,62.22375723735651,640.5641693115234,688.5195286479743,592.6088099750725,0.005168732093081552,0.015744432781364975,7405745.8,0.4637252064471346
2021-05-24,657.694184854501,664.7375322132713,656.3616408374486,657.6466064453125,3722957,661.515673828125,629.8936889648437,653.4534086276419,636.9512218644851,16.50218676315683,17.920937526124316,61.11306135641306,643.0864379882812,688.9125180616279,597.2603579149345,0.0007965591912397763,0.015737696633931812,7131408.1,0.5220507574093257
2021-05-25,661.5013824757109,663.7857270338085,657.6941802744118,662.54833984375,2800233,661.3157836914063,632.4905171712239,654.8526288147355,638.847304677764,16.005324136971467,17.537814848293745,69.01831151111855,646.0084655761718,688.7163010260264,603.3006301263173,0.007453445893885524,0.013143100861963034,6319009.2,0.44314431445993147
2021-05-26,665.7844059682636,672.1139021143551,662.6434761434684,669.8771362304688,6235460,660.9065063476562,634.6177876790365,657.1640914940791,641.1458107187051,16.018280775374024,17.233908033709803,59.86461553727414,649.0803985595703,689.1678822633594,608.9929148557812,0.01106152705544039,0.012795908260805709,5466504.1,1.1406668477574178
2021-05-27,673.1610625500847,675.5405643618559,661.0256033100513,665.7846069335938,9875654,660.5876708984375,637.1606892903645,658.4903246386199,642.9709067346228,15.519417903997123,16.891010007767267,59.691513498371485,651.7502044677734,688.5239285615517,614.9764803739952,-0.0061093730111532185,0.012724417729077635,5729003.4,1.7237996402655302
2021-05-28,660.5496091198326,661.0255094145874,634.1847211717503,637.4684448242188,28316552,658.522265625,638.5059020996093,655.2561892825582,642.5633169634817,12.692872319076514,16.051382470029118,46.3643250840995,652.9518524169922,685.8169004381184,620.086804395866,-0.042530514845921186,0.01798906040761766,7875555.1,3.5954991921775776
2021-05-31,639.6100530192128,643.1317271321756,627.2366442554483,636.08837890625,13947126,656.7281188964844,639.6179239908854,652.3072953785108,642.0836919222053,10.223603456305568,14.885826667284409,37.12309927146795,653.6109741210937,684.4021567590353,622.8197914831521,-0.0021649164428041434,0.017955002846073223,8638444.3,1.614541405331513
2021-06-01,637.8015883164015,640.8473619959062,632.2811561997811,638.705810546875,6443084,654.8483154296875,640.4110921223959,650.2147592505669,641.8334784869957,8.381280763571226,13.584917486541773,32.996781034412734,654.1749145507813,683.3158184693959,625.0340106321667,0.004114886747539126,0.017900088898410483,8874710.4,0.7260049860331217
2021-06-02,638.6581770034816,645.4159377553208,637.8491697632248,644.7973022460938,4978457,652.3783935546875,641.5786315917969,649.3813043268018,642.0530209876697,7.328283339132099,12.33359065705984,38.46502411868653,655.7120697021485,678.4909806796147,632.9331587246822,0.009537241713838629,0.01695273276321153,8598013.0,0.5790241303426733
2021-06-03,645.320724340477,648.0333324665387,641.0376221877747,642.9412231445312,3604574,651.2981018066406,642.5415323893229,648.3905226064525,642.1188137400299,6.271708866422614,11.121214298932395,42.07645190186816,655.3361083984375,678.720143871724,631.9520729251511,-0.002878546630230905,0.015449241629327487,8335832.8,0.4324191819202516
2021-06-04,646.1774278408518,646.5105348018117,640.371409529164,641.4660034179688,3747803,649.7323852539063,643.6202412923177,647.3252119620704,642.0704574198771,5.254754542193268,9.947922347584571,43.25836882433624,655.0767425537109,678.9756783887349,631.177806718687,-0.0022944861419017526,0.01526753445801773,8367190.0,0.4479165645814186
2021-06-07,641.4659760338103,645.1303848211212,638.5629960485426,642.7984619140625,2793705,648.2475708007812,644.806815592448,646.6287888777615,642.1243836787057,4.504405199055782,8.859218917878813,41.92362383522024,654.8816223144531,679.1296621818518,630.6335824470544,0.002077208283827847,0.015301740547993077,8274264.8,0.3376378527310366
2021-06-08,640.5618749460463,647.1769014694249,633.0426261335776,646.0347290039062,5695920,646.5962097167969,646.2043802897135,646.5373950510145,642.4140388879798,4.123356163034714,7.912046366909994,35.7432465511384,653.9559967041016,678.0634447992547,629.8485486089485,0.0050346528213633945,0.015151033739709172,8563833.5,0.6651133513980626
2021-06-09,648.2237210570536,651.697816130897,635.4219926709209,640.4189453125,4492551,643.650390625,647.2703959147135,645.596095091243,642.266254178685,3.3298409125579838,6.995605276039592,40.76518043260511,652.2784484863281,675.1601336132767,629.3967633593795,-0.008692696289044677,0.014471216634431492,8389542.6,0.5354941519696199
2021-06-10,640.609380920597,648.1762072940105,640.5618025093526,643.4647827148438,3099864,641.418408203125,648.3062723795573,645.2682008794892,642.3550340702523,2.913166809236941,6.179117582679062,40.4903496463081,651.0030395507813,672.783790471432,629.2222886301306,0.0047560076488015746,0.01473335890179273,7711963.6,0.40195521669734025
