Date,Open,High,Low,Close,Volume,SMA_10,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,Price_Change,Volatility,Volume_SMA,Volume_Ratio
2025-05-07,1885.239594001668,1901.1069446087308,1869.8680981010757,1881.074462890625,5554616,1841.2572875976562,1776.3829630533853,1837.694830808113,1800.33649418075,37.35833662736309,33.58020980751844,64.34425343436192,1806.6590209960937,1935.7963355442193,1677.521706447968,-0.002209353696864924,0.014240484433774467,5529984.6,1.0044541534527962
2025-05-08,1881.272710309228,1889.9998013528443,1846.9595896728601,1859.35595703125,5500724,1840.5928466796875,1781.9910807291667,1841.0273117655188,1804.70830624375,36.31900552176876,34.127968950368505,57.69796873199568,1813.1770324707031,1938.9243220608882,1687.429742880518,-0.011545798046718736,0.014011623308638393,5394554.3,1.0196809030173262
2025-05-09,1839.6209414378845,1855.5874386047467,1821.2743174936254,1833.07568359375,3686209,1840.8705322265625,1786.0438639322917,1839.8039843544775,1806.8095934548612,32.99439089961629,33.90125334021806,43.20988668427256,1821.1974792480469,1928.2882660590587,1714.106692437035,-0.014134073326906416,0.0133367896749587,5245106.4,0.70279012833753
2025-05-12,1853.4057669450206,1867.7855535947258,1838.6292723140127,1855.2900390625,3936019,1846.1861083984375,1791.0685262044271,1842.1864543095578,1810.4007375739457,31.78571673561214,33.47814601929688,48.00886066051135,1828.6551391601563,1921.8850104021774,1735.4252679181352,0.012118624270438527,0.012572072779564788,5181700.0,0.7595999382442056
2025-05-13,1854.496571926845,1868.0829422390414,1801.5392659286156,1805.506103515625,8817763,1846.06708984375,1794.0469604492187,1836.5433234181837,1810.0381720881442,26.505151330039553,32.08354708144542,45.28921349329001,1833.8640869140625,1906.5087014959433,1761.2194723321816,-0.026833505542902314,0.01572346057510428,5733287.2,1.5379942940936222
2025-05-14,1814.8282769743653,1855.1908027985153,1805.1094760295505,1818.993408203125,7401614,1847.0984619140625,1797.208858235677,1833.843336462021,1810.701522911476,23.14181355054484,30.295200375265303,42.58450252093137,1837.7119201660157,1896.7563276150022,1778.6675127170292,0.0074700964240652645,0.015898991687515403,6005033.1,1.232568393336583
2025-05-15,1834.5632267321403,1854.3974145533252,1809.8696386831102,1851.7197265625,8788351,1847.3662109375,1801.9194783528646,1836.593550323633,1813.7399083671075,22.853641956525507,28.806888691517347,53.41123631850854,1841.1035583496093,1894.6684293305732,1787.5386873686455,0.017991444175547322,0.015292421062449798,5969886.1,1.4721136806948463
2025-05-16,1818.7950030308969,1818.7950030308969,1795.0931246357968,1798.9608154296875,100662047,1843.974560546875,1804.583866373698,1830.8038988014875,1812.6451607421136,18.158738059373945,26.677258565088668,49.53134323515042,1840.6771240234375,1895.4900061703283,1785.8642418765467,-0.028491844838070213,0.017672835187489997,15649410.2,6.432322094796902
2025-05-19,1806.8944960207482,1813.5389004642545,1794.0022740403588,1803.2252197265625,5799804,1839.2441040039062,1807.6961791992187,1826.5610250976529,1811.9473873335544,14.613637764098485,24.264534404890632,49.48694159452093,1837.1664733886719,1892.1382533035817,1782.194693473762,0.002370482036239574,0.017299676095893737,15874506.7,0.3653533372473237
2025-05-20,1794.7957609339292,1809.770548999271,1784.581105460745,1793.9031982421875,12512596,1830.1104614257813,1809.4911743164062,1821.536744042966,1810.610780734194,10.925963308771998,21.596820185666907,47.8622655404248,1833.4723571777345,1889.69609014565,1777.248624209819,-0.0051696379256434,0.015613027789048113,16265974.3,0.7692497091920278
2025-05-21,1797.9691415627142,1811.3572184579689,1790.3330276087313,1807.390380859375,6849562,1822.7420532226563,1812.0200317382812,1819.3603804762595,1810.3722325953183,8.988147880941142,19.075085724721756,43.46608034523618,1831.9996704101563,1889.38257325616,1774.6167675641527,0.007518344708010716,0.01609109694451291,16395468.9,0.4177716442132375
2025-05-22,1804.812016356604,1821.4726621501404,1801.241886619295,1816.2166748046875,6496923,1818.428125,1814.9273966471353,1818.8767334498637,1810.8051542404567,8.071579209406991,16.874384421658803,47.324854447181536,1829.5104858398438,1884.9701404959978,1774.0508311836898,0.004883446342740738,0.016059067461432878,16495088.8,0.3938701439424806
