Date,Open,High,Low,Close,Volume,SMA_10,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,Price_Change,Volatility,Volume_SMA,Volume_Ratio
2021-05-06,1184.0307481639024,1201.3730142790157,1177.340335688776,1198.64404296875,4810090,1186.4165283203124,1206.514208984375,1191.7987244711119,1199.472730345422,-7.674005874310069,-6.5300700678328685,50.33658772863417,1205.6250915527344,1268.7901329545944,1142.4600501508744,0.014983140968789499,0.00970865323628397,5488452.6,0.8764018477630654
2021-05-07,1201.9012065218649,1208.723688040517,1187.1117842454348,1190.6771240234375,4991435,1188.0671142578126,1205.9786783854167,1191.626170556085,1198.821203951201,-7.195033395115843,-6.663062733289464,49.532232508975994,1202.2072448730469,1260.4064440379743,1144.0080457081194,-0.006646609551890337,0.008911259071856222,5255969.9,0.9496696318599541
2021-05-10,1188.3002663123307,1190.9852860554715,1175.2715911070898,1179.2330322265625,7195348,1187.7149658203125,1205.039668782552,1189.7195338900046,1197.3702282678944,-7.650694377889749,-6.860589062209521,41.32066467545896,1197.7924438476562,1247.9711009250116,1147.6137867703007,-0.00961141485460315,0.009270571622819537,5266644.1,1.3662111704111544
2021-05-11,1176.9003177121128,1180.5096097171875,1166.5124944185009,1171.3983154296875,6420988,1186.1436157226562,1204.3618204752604,1186.9008848961096,1195.4463828724718,-8.545497976362185,-7.197570845040054,42.05066106038047,1192.933087158203,1231.7924751878354,1154.0736991285708,-0.006643908865139214,0.00935732544541323,5545131.4,1.1579505582140037
2021-05-12,1170.8258971937994,1170.8258971937994,1157.1809337302627,1168.1849365234375,5241898,1183.5906616210937,1204.1622762044271,1184.0215082233908,1193.427016476247,-9.40550825285618,-7.63915832660328,40.9804808887911,1188.5865051269532,1215.8882351899902,1161.2847750639162,-0.0027431991867524763,0.0090447290185603,5581397.8,0.9391729792132
2021-05-14,1168.0529416338368,1168.0529416338368,1154.3640257610134,1158.8536376953125,4824609,1180.0737670898438,1203.5812703450522,1180.149528142148,1190.866025455437,-10.716497313288983,-8.25462612394042,43.14416903058303,1185.0322143554688,1207.7982724053911,1162.2661563055465,-0.007987860942545,0.009178452823402444,5522623.0,0.8736082473853457
2021-05-17,1162.2870794002622,1175.1836874279068,1162.2870794002622,1170.2979736328125,5017129,1177.877392578125,1201.9409464518228,1178.633904371481,1189.3424660611684,-10.708561689687258,-8.745413237089789,44.56395045312843,1183.6523193359376,1206.4809050643169,1160.8237336075583,0.009875566305560524,0.010041972927950152,5188868.2,0.9669023776707221
2021-05-18,1177.868509867654,1183.6786021012647,1170.385787645027,1179.629150390625,5620150,1176.8165893554688,1201.1178426106771,1178.787019143657,1188.6229611966837,-9.835942053026656,-8.963519000277163,46.870417794986786,1183.0470886230469,1205.6138811610704,1160.4802960850234,0.007973334114940611,0.0105090586392355,5294849.5,1.0614371569956804
2021-05-19,1181.3900054269702,1194.9909129521475,1173.687201740319,1176.9884033203125,4435878,1177.4856323242188,1199.7034708658855,1178.5103090169887,1187.7611420947303,-9.250833077741618,-9.020981815770055,42.764628103363066,1181.9224792480468,1203.248708929928,1160.5962495661656,-0.0022386247995296316,0.008955461417846852,5249731.3,0.8449723893487654
2021-05-20,1187.0239550381152,1187.640136285022,1175.227641118216,1179.0130615234375,4490092,1177.2919677734376,1197.631787109375,1178.5876555564423,1187.1131361264866,-8.525480570044238,-8.921881566624892,43.602188694796126,1181.3920837402343,1202.4379478519547,1160.3462196285138,0.0017202023379443432,0.008468380046433984,5304761.7,0.8464267113073147
