Date,Open,High,Low,Close,Volume,SMA_10,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,Price_Change,Volatility,Volume_SMA,Volume_Ratio
2025-05-07,3270.1586574100547,3370.8556160681082,3250.418016833093,3328.8818359375,1047443,3343.3882080078124,3211.029850260417,3313.4932876224175,3266.422281758679,47.071005863738264,49.69088182471662,62.41940800928613,3275.6794677734374,3487.8362552809294,3063.5226802659454,0.012002551697290587,0.007295829077027773,668112.5,1.5677644109337874
2025-05-08,3339.848736275286,3402.2610062364442,3315.0235445380736,3359.190673828125,1597339,3344.584619140625,3216.885563151042,3320.523654730988,3273.294014504564,47.229640226423726,49.19863350505804,66.59831129904191,3290.2905029296876,3481.1030078761555,3099.4779979832197,0.009104810379095163,0.007637519153362942,764980.8,2.0880772432458437
2025-05-09,3356.8974935577767,3519.4084206293296,3344.1358506030547,3499.767578125,2863992,3357.3162841796875,3228.437467447917,3348.0996429454513,3290.0698340320037,58.029808913447596,50.96486858673595,74.15429456706173,3314.622277832031,3478.8864139604616,3150.3581417036007,0.04184844444589797,0.015185750217350137,961205.3,2.9795840701252896
2025-05-12,3526.586876196193,3574.2435049437295,3519.7076764369476,3552.209716796875,956930,3377.0269775390625,3244.5157470703125,3379.5011927687474,3309.4876031256977,70.01358964304973,54.774612797998714,76.84654899444104,3336.5861694335936,3504.7267004429286,3168.4456384242585,0.014984463253977287,0.0152003855835107,986465.8,0.9700589721407472
2025-05-13,3552.2096405124134,3577.6331293321473,3529.478245235364,3552.5087890625,996541,3396.3787353515627,3261.4481201171875,3406.1177460447097,3327.4891724543495,78.62857359036025,59.545404956471025,76.79161451305671,3355.9803100585937,3529.9845430512546,3181.9760770659327,8.419330204834097e-05,0.015240806475725682,1047705.2,0.9511654614294174
2025-05-14,3544.3334105714875,3599.1683859811733,3539.348412806971,3576.835693359375,588159,3417.216015625,3279.0651041666665,3432.3820456315816,3345.959285113981,86.42276051760064,64.92087606869694,77.03683473671198,3373.56240234375,3562.3576963443766,3184.7671083431233,0.0068478097427295825,0.015208843092838842,1048977.6,0.5606973876277244
2025-05-15,3586.207309476769,3654.003277518031,3543.236532369733,3625.887939453125,1227751,3442.848876953125,3297.315185546875,3462.152183142588,3366.6947409909544,95.45744215163359,71.02818928528427,78.25695455381864,3391.677880859375,3604.090427473456,3179.2653342452936,0.013713866193188151,0.015231102460884228,1100870.9,1.1152542954855107
2025-05-16,3643.036503649814,3644.9307055085037,3602.558222912686,3622.79736328125,525064,3471.93134765625,3316.269807942708,3486.8668262408437,3385.6653056050504,101.20152063579326,77.06285555538608,80.82667258941046,3409.7036254882814,3636.5771914382435,3182.8300595383193,-0.0008523639515294335,0.014141436207069157,1101918.6,0.4764998067915361
2025-05-19,3606.147363842015,3638.549849140568,3600.5640690119503,3606.84521484375,376760,3501.4325439453123,3337.231722005208,3505.32503987206,3402.049002585695,103.27603728636541,82.30549190158195,77.77033133683614,3424.1700805664063,3662.8819188716934,3185.4582422611193,-0.0044032682035110016,0.01396240281837808,1083076.8,0.3478608349841858
2025-05-20,3606.845226748082,3609.138374396859,3564.373191922964,3569.856689453125,811416,3529.4781494140625,3353.255167643229,3515.252985961455,3414.4792016129118,100.77378434854336,85.99915039097424,71.25421975010525,3436.3583984375,3678.8475614658196,3193.8692354091804,-0.010255090858460214,0.014425612572819655,1099139.5,0.7382284050386689
